Date,Station_ID,Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78
1992-01-31,090.0 120.0,1992,1,31,30.4179,-123.9989,2234.9333333333334,1998.6333333333332,10,NA,33.522
1992-02-01,090.0 070.0,1992,2,1,32.0846,-120.6387,2216.7,NA,15,NA,33.204
1992-02-01,090.0 090.0,1992,2,1,31.4179,-121.99,2224,NA,15,NA,33.298
1992-04-16,090.0 120.0,1992,4,16,30.4179,-123.9989,2221.0666666666666,1993.7333333333333,10,NA,33.197
1992-04-19,090.0 070.0,1992,4,19,32.0846,-120.6387,2215,1988.2333333333333,10,NA,33.112
1992-04-20,090.0 090.0,1992,4,20,31.4179,-121.99,NA,1991.48,10,NA,NA
1992-07-05,090.0 120.0,1992,7,5,30.4179,-123.9989,NA,1982.88,10,NA,NA
1992-07-06,090.0 070.0,1992,7,6,32.0846,-120.6387,NA,1983.42,10,NA,NA
1992-07-07,090.0 090.0,1992,7,7,31.4179,-121.99,NA,1985.44,10,NA,NA
1992-09-29,090.0 120.0,1992,9,29,30.4179,-123.9989,NA,1978.4,10,NA,NA
1992-09-30,090.0 070.0,1992,9,30,32.0846,-120.6387,NA,1978.32,10,NA,NA
1992-09-30,090.0 090.0,1992,9,30,31.4179,-121.99,NA,1986.6,10,NA,NA
1993-01-16,090.0 090.0,1993,1,16,31.4179,-121.99,2218.825,1985.3,NA,NA,NA
1993-01-17,090.0 070.0,1993,1,17,32.0846,-120.6387,NA,1980.825,NA,NA,NA
1993-04-03,090.0 090.0,1993,4,3,31.4179,-121.99,2212.5,1985.1,10,15.09,33.116
1993-08-15,090.0 090.0,1993,8,15,31.4179,-121.99,2214.4,1977.9,10,18.42,33.042
1993-10-13,090.0 090.0,1993,10,13,31.4179,-121.99,2216.1,1979.8,10,18.67,33.169
1994-01-25,090.0 090.0,1994,1,25,31.4179,-121.99,2227.6,1989.7,10,15.94,33.342
1994-03-27,090.0 090.0,1994,3,27,31.4179,-121.99,2223.1,1993.7,10,15.15,33.306
1994-08-09,090.0 090.0,1994,8,9,31.4179,-121.99,2213.8,1989.9,10,15.95,33.164
1994-08-10,090.0 070.0,1994,8,10,32.0846,-120.6387,NA,1991.35,21,NA,NA
1994-10-04,090.0 090.0,1994,10,4,31.4179,-121.99,2211.5,1979.1,10,18.77,33.115
1995-01-09,090.0 090.0,1995,1,9,31.4179,-121.99,2222.7,1993.3,10,15.84,33.341
1995-10-16,090.0 090.0,1995,10,16,31.4179,-121.99,2229.8,1990.5,10,18.26,33.43
1996-02-02,090.0 090.0,1996,2,2,31.4179,-121.99,2215.4,1988.2,10,15.85,33.246
1996-04-18,090.0 090.0,1996,4,18,31.4179,-121.99,2227.6,1995,10,17.19,33.48
1996-08-10,090.0 090.0,1996,8,10,31.4179,-121.99,2218.8,1986.9,10,18.32,33.253
1996-10-16,090.0 090.0,1996,10,16,31.4179,-121.99,2214.3,1984,10,18.42,33.181
1997-02-02,090.0 090.0,1997,2,2,31.4179,-121.99,2216.3,1989.6,10,15.71,33.16
1997-04-06,090.0 090.0,1997,4,6,31.4179,-121.99,2218.5,1993.2,10,14.9,33.174
1997-07-05,090.0 090.0,1997,7,5,31.4179,-121.99,2214.6,1985.5,10,17.34,33.178
1997-09-24,090.0 090.0,1997,9,24,31.4179,-121.99,2224.8,1979.8,10,20.3,33.347
1998-03-13,090.0 090.0,1998,3,13,31.4179,-121.99,2234.9,1995.4,10,16.4,33.601
1998-04-06,090.0 090.0,1998,4,6,31.4179,-121.99,2233,1997.1,10,15.9,33.536
1998-05-18,090.0 090.0,1998,5,18,31.4179,-121.99,2229.2,1995.2,10,16.71,33.493
1998-06-19,090.0 090.0,1998,6,19,31.4179,-121.99,2239,2000.3,10,18.5,33.594
1998-07-13,090.0 090.0,1998,7,13,31.4179,-121.99,2236.7,1997.9,10,18.25,33.6
1998-08-14,090.0 090.0,1998,8,14,31.4179,-121.99,2214.2,1981.4,10,18.3,33.156
1998-09-17,090.0 090.0,1998,9,17,31.4179,-121.99,2214,1983.9,10,18.07,33.184
1998-10-18,090.0 090.0,1998,10,18,31.4179,-121.99,2216,1994.3,10,17.55,33.217
1998-11-20,090.0 090.0,1998,11,20,31.4179,-121.99,NA,NA,10,16.27,34.128
